Case ID,Timestamp (dd/MM/yy HH:mm),Activity,Resource
25,06/10/15 11:02,register order,system
25,06/10/15 11:08,check order,John
25,06/10/15 11:09,check order complete,John
25,06/10/15 11:12,check availability,Sara
25,06/10/15 11:17,contact customer to inform items unavailable,Sara
25,06/10/15 13:39,cancel order,Sara
26,06/10/15 12:19,register order,system
26,06/10/15 12:20,check order,John
26,06/10/15 12:22,contact customer for order verification,John
26,06/10/15 12:27,cancel order,John
27,06/10/15 12:38,register order,system
27,06/10/15 12:41,check order,Mike
27,06/10/15 12:43,contact customer for order verification,Mike
27,06/10/15 12:44,check order complete,Mike
27,06/10/15 12:47,check availability,John
27,06/10/15 12:49,check availability complete,John
27,06/10/15 12:56,gather items,Sara
27,06/10/15 18:12,gather items complete,Sara
27,06/10/15 19:24,price order,Mike
27,06/10/15 20:03,price order complete,Mike
27,06/10/15 20:03,order ready to send,system
27,07/10/15 09:18,send order,Bill
27,07/10/15 10:25,order delivered,Bill
28,06/10/15 12:47,register order,system
28,06/10/15 12:49,check order,John
28,06/10/15 13:02,check order complete,Sara
28,06/10/15 13:17,check availability,Mike
28,06/10/15 13:19,contact customer to inform items unavailable,Mike
28,06/10/15 13:22,cancel order,Mike
29,07/10/15 08:36,register order,system
29,07/10/15 08:38,check order,Mike
29,07/10/15 08:43,contact customer for order verification,Mike
29,07/10/15 09:26,check order complete,Mike
29,07/10/15 10:12,check availability,Sara
29,07/10/15 10:27,check availability complete,Sara
29,07/10/15 10:39,price order,John
29,07/10/15 10:48,price order complete,John
29,07/10/15 10:49,gather items,John
29,07/10/15 19:09,gather items complete,Sara
29,07/10/15 19:10,order ready to send,system
29,07/10/15 19:38,send order,Tom
29,07/10/15 20:02,order delivered,Tom
30,07/10/15 12:37,register order,system
30,07/10/15 12:39,check order,John
30,07/10/15 12:41,contact customer for order verification,Mike
30,07/10/15 12:43,check order complete,John
30,07/10/15 12:49,check availability,John
30,07/10/15 12:53,contact customer to inform items unavailable,Sara
30,07/10/15 12:57,cancel order,Sara
31,07/10/15 12:38,register order,system
31,07/10/15 12:39,check order,Sara
31,07/10/15 12:40,contact customer for order verification,John
31,07/10/15 12:47,cancel order,John
32,07/10/15 17:56,register order,system
32,07/10/15 17:58,check order,Sara
32,07/10/15 17:59,check order complete,Sara
32,07/10/15 18:02,check availability,Sara
32,07/10/15 18:03,check availability complete,Sara
32,07/10/15 18:18,gather items,John
32,07/10/15 19:57,gather items complete,John
32,08/10/15 08:04,price order,Mike
32,08/10/15 08:09,price order complete,Mike
32,08/10/15 08:09,order ready to send,system
32,08/10/15 09:46,send order,Bill
32,08/10/15 10:32,order delivered,Bill
